,Survived,Pclass,Age,SibSp,Parch,Fare,SexN,EmbarkedN
601,0,3,29.69911764705882,0,0,7.8958,1,2
602,0,1,29.69911764705882,0,0,42.4,1,2
603,0,3,44.0,0,0,8.05,1,2
604,1,1,35.0,0,0,26.55,1,0
605,0,3,36.0,1,0,15.55,1,2
606,0,3,30.0,0,0,7.8958,1,2
607,1,1,27.0,0,0,30.5,1,2
608,1,2,22.0,1,2,41.5792,0,0
609,1,1,40.0,0,0,153.4625,0,2
610,0,3,39.0,1,5,31.275,0,2
611,0,3,29.69911764705882,0,0,7.05,1,2
612,1,3,29.69911764705882,1,0,15.5,0,1
613,0,3,29.69911764705882,0,0,7.75,1,1
614,0,3,35.0,0,0,8.05,1,2
615,1,2,24.0,1,2,65.0,0,2
616,0,3,34.0,1,1,14.4,1,2
617,0,3,26.0,1,0,16.1,0,2
618,1,2,4.0,2,1,39.0,0,2
619,0,2,26.0,0,0,10.5,1,2
620,0,3,27.0,1,0,14.4542,1,0
621,1,1,42.0,1,0,52.5542,1,2
622,1,3,20.0,1,1,15.7417,1,0
623,0,3,21.0,0,0,7.8542,1,2
624,0,3,21.0,0,0,16.1,1,2
625,0,1,61.0,0,0,32.3208,1,2
626,0,2,57.0,0,0,12.35,1,1
627,1,1,21.0,0,0,77.9583,0,2
628,0,3,26.0,0,0,7.8958,1,2
629,0,3,29.69911764705882,0,0,7.7333,1,1
630,1,1,80.0,0,0,30.0,1,2
631,0,3,51.0,0,0,7.0542,1,2
632,1,1,32.0,0,0,30.5,1,0
633,0,1,29.69911764705882,0,0,0.0,1,2
634,0,3,9.0,3,2,27.9,0,2
635,1,2,28.0,0,0,13.0,0,2
636,0,3,32.0,0,0,7.925,1,2
637,0,2,31.0,1,1,26.25,1,2
638,0,3,41.0,0,5,39.6875,0,2
639,0,3,29.69911764705882,1,0,16.1,1,2
640,0,3,20.0,0,0,7.8542,1,2
641,1,1,24.0,0,0,69.3,0,0
642,0,3,2.0,3,2,27.9,0,2
643,1,3,29.69911764705882,0,0,56.4958,1,2
644,1,3,0.75,2,1,19.2583,0,0
645,1,1,48.0,1,0,76.7292,1,0
646,0,3,19.0,0,0,7.8958,1,2
647,1,1,56.0,0,0,35.5,1,0
648,0,3,29.69911764705882,0,0,7.55,1,2
649,1,3,23.0,0,0,7.55,0,2
650,0,3,29.69911764705882,0,0,7.8958,1,2
651,1,2,18.0,0,1,23.0,0,2
652,0,3,21.0,0,0,8.4333,1,2
653,1,3,29.69911764705882,0,0,7.8292,0,1
654,0,3,18.0,0,0,6.75,0,1
655,0,2,24.0,2,0,73.5,1,2
656,0,3,29.69911764705882,0,0,7.8958,1,2
657,0,3,32.0,1,1,15.5,0,1
658,0,2,23.0,0,0,13.0,1,2
659,0,1,58.0,0,2,113.275,1,0
660,1,1,50.0,2,0,133.65,1,2
661,0,3,40.0,0,0,7.225,1,0
662,0,1,47.0,0,0,25.5875,1,2
663,0,3,36.0,0,0,7.4958,1,2
664,1,3,20.0,1,0,7.925,1,2
665,0,2,32.0,2,0,73.5,1,2
666,0,2,25.0,0,0,13.0,1,2
667,0,3,29.69911764705882,0,0,7.775,1,2
668,0,3,43.0,0,0,8.05,1,2
669,1,1,29.69911764705882,1,0,52.0,0,2
670,1,2,40.0,1,1,39.0,0,2
671,0,1,31.0,1,0,52.0,1,2
672,0,2,70.0,0,0,10.5,1,2
673,1,2,31.0,0,0,13.0,1,2
674,0,2,29.69911764705882,0,0,0.0,1,2
675,0,3,18.0,0,0,7.775,1,2
676,0,3,24.5,0,0,8.05,1,2
677,1,3,18.0,0,0,9.8417,0,2
678,0,3,43.0,1,6,46.9,0,2
679,1,1,36.0,0,1,512.3292,1,0
680,0,3,29.69911764705882,0,0,8.1375,0,1
681,1,1,27.0,0,0,76.7292,1,0
682,0,3,20.0,0,0,9.225,1,2
683,0,3,14.0,5,2,46.9,1,2
684,0,2,60.0,1,1,39.0,1,2
685,0,2,25.0,1,2,41.5792,1,0
686,0,3,14.0,4,1,39.6875,1,2
687,0,3,19.0,0,0,10.1708,1,2
688,0,3,18.0,0,0,7.7958,1,2
689,1,1,15.0,0,1,211.3375,0,2
690,1,1,31.0,1,0,57.0,1,2
691,1,3,4.0,0,1,13.4167,0,0
692,1,3,29.69911764705882,0,0,56.4958,1,2
693,0,3,25.0,0,0,7.225,1,0
694,0,1,60.0,0,0,26.55,1,2
695,0,2,52.0,0,0,13.5,1,2
696,0,3,44.0,0,0,8.05,1,2
697,1,3,29.69911764705882,0,0,7.7333,0,1
698,0,1,49.0,1,1,110.8833,1,0
699,0,3,42.0,0,0,7.65,1,2
700,1,1,18.0,1,0,227.525,0,0
701,1,1,35.0,0,0,26.2875,1,2
702,0,3,18.0,0,1,14.4542,0,0
703,0,3,25.0,0,0,7.7417,1,1
704,0,3,26.0,1,0,7.8542,1,2
705,0,2,39.0,0,0,26.0,1,2
706,1,2,45.0,0,0,13.5,0,2
707,1,1,42.0,0,0,26.2875,1,2
708,1,1,22.0,0,0,151.55,0,2
709,1,3,29.69911764705882,1,1,15.2458,1,0
710,1,1,24.0,0,0,49.5042,0,0
711,0,1,29.69911764705882,0,0,26.55,1,2
712,1,1,48.0,1,0,52.0,1,2
713,0,3,29.0,0,0,9.4833,1,2
714,0,2,52.0,0,0,13.0,1,2
715,0,3,19.0,0,0,7.65,1,2
716,1,1,38.0,0,0,227.525,0,0
717,1,2,27.0,0,0,10.5,0,2
718,0,3,29.69911764705882,0,0,15.5,1,1
719,0,3,33.0,0,0,7.775,1,2
720,1,2,6.0,0,1,33.0,0,2
721,0,3,17.0,1,0,7.0542,1,2
722,0,2,34.0,0,0,13.0,1,2
723,0,2,50.0,0,0,13.0,1,2
724,1,1,27.0,1,0,53.1,1,2
725,0,3,20.0,0,0,8.6625,1,2
726,1,2,30.0,3,0,21.0,0,2
727,1,3,29.69911764705882,0,0,7.7375,0,1
728,0,2,25.0,1,0,26.0,1,2
729,0,3,25.0,1,0,7.925,0,2
730,1,1,29.0,0,0,211.3375,0,2
731,0,3,11.0,0,0,18.7875,1,0
732,0,2,29.69911764705882,0,0,0.0,1,2
733,0,2,23.0,0,0,13.0,1,2
734,0,2,23.0,0,0,13.0,1,2
735,0,3,28.5,0,0,16.1,1,2
736,0,3,48.0,1,3,34.375,0,2
737,1,1,35.0,0,0,512.3292,1,0
738,0,3,29.69911764705882,0,0,7.8958,1,2
739,0,3,29.69911764705882,0,0,7.8958,1,2
740,1,1,29.69911764705882,0,0,30.0,1,2
741,0,1,36.0,1,0,78.85,1,2
742,1,1,21.0,2,2,262.375,0,0
743,0,3,24.0,1,0,16.1,1,2
744,1,3,31.0,0,0,7.925,1,2
745,0,1,70.0,1,1,71.0,1,2
746,0,3,16.0,1,1,20.25,1,2
747,1,2,30.0,0,0,13.0,0,2
748,0,1,19.0,1,0,53.1,1,2
749,0,3,31.0,0,0,7.75,1,1
750,1,2,4.0,1,1,23.0,0,2
751,1,3,6.0,0,1,12.475,1,2
752,0,3,33.0,0,0,9.5,1,2
753,0,3,23.0,0,0,7.8958,1,2
754,1,2,48.0,1,2,65.0,0,2
755,1,2,0.67,1,1,14.5,1,2
756,0,3,28.0,0,0,7.7958,1,2
757,0,2,18.0,0,0,11.5,1,2
758,0,3,34.0,0,0,8.05,1,2
759,1,1,33.0,0,0,86.5,0,2
760,0,3,29.69911764705882,0,0,14.5,1,2
761,0,3,41.0,0,0,7.125,1,2
762,1,3,20.0,0,0,7.2292,1,0
763,1,1,36.0,1,2,120.0,0,2
764,0,3,16.0,0,0,7.775,1,2
765,1,1,51.0,1,0,77.9583,0,2
766,0,1,29.69911764705882,0,0,39.6,1,0
767,0,3,30.5,0,0,7.75,0,1
768,0,3,29.69911764705882,1,0,24.15,1,1
769,0,3,32.0,0,0,8.3625,1,2
770,0,3,24.0,0,0,9.5,1,2
771,0,3,48.0,0,0,7.8542,1,2
772,0,2,57.0,0,0,10.5,0,2
773,0,3,29.69911764705882,0,0,7.225,1,0
774,1,2,54.0,1,3,23.0,0,2
775,0,3,18.0,0,0,7.75,1,2
776,0,3,29.69911764705882,0,0,7.75,1,1
777,1,3,5.0,0,0,12.475,0,2
778,0,3,29.69911764705882,0,0,7.7375,1,1
779,1,1,43.0,0,1,211.3375,0,2
780,1,3,13.0,0,0,7.2292,0,0
781,1,1,17.0,1,0,57.0,0,2
782,0,1,29.0,0,0,30.0,1,2
783,0,3,29.69911764705882,1,2,23.45,1,2
784,0,3,25.0,0,0,7.05,1,2
785,0,3,25.0,0,0,7.25,1,2
786,1,3,18.0,0,0,7.4958,0,2
787,0,3,8.0,4,1,29.125,1,1
788,1,3,1.0,1,2,20.575,1,2
789,0,1,46.0,0,0,79.2,1,0
790,0,3,29.69911764705882,0,0,7.75,1,1
791,0,2,16.0,0,0,26.0,1,2
792,0,3,29.69911764705882,8,2,69.55,0,2
793,0,1,29.69911764705882,0,0,30.6958,1,0
794,0,3,25.0,0,0,7.8958,1,2
795,0,2,39.0,0,0,13.0,1,2
796,1,1,49.0,0,0,25.9292,0,2
797,1,3,31.0,0,0,8.6833,0,2
798,0,3,30.0,0,0,7.2292,1,0
799,0,3,30.0,1,1,24.15,0,2
800,0,2,34.0,0,0,13.0,1,2
801,1,2,31.0,1,1,26.25,0,2
802,1,1,11.0,1,2,120.0,1,2
803,1,3,0.42,0,1,8.5167,1,0
804,1,3,27.0,0,0,6.975,1,2
805,0,3,31.0,0,0,7.775,1,2
806,0,1,39.0,0,0,0.0,1,2
807,0,3,18.0,0,0,7.775,0,2
808,0,2,39.0,0,0,13.0,1,2
809,1,1,33.0,1,0,53.1,0,2
810,0,3,26.0,0,0,7.8875,1,2
811,0,3,39.0,0,0,24.15,1,2
812,0,2,35.0,0,0,10.5,1,2
813,0,3,6.0,4,2,31.275,0,2
814,0,3,30.5,0,0,8.05,1,2
815,0,1,29.69911764705882,0,0,0.0,1,2
816,0,3,23.0,0,0,7.925,0,2
817,0,2,31.0,1,1,37.0042,1,0
818,0,3,43.0,0,0,6.45,1,2
819,0,3,10.0,3,2,27.9,1,2
820,1,1,52.0,1,1,93.5,0,2
821,1,3,27.0,0,0,8.6625,1,2
822,0,1,38.0,0,0,0.0,1,2
823,1,3,27.0,0,1,12.475,0,2
824,0,3,2.0,4,1,39.6875,1,2
825,0,3,29.69911764705882,0,0,6.95,1,1
826,0,3,29.69911764705882,0,0,56.4958,1,2
827,1,2,1.0,0,2,37.0042,1,0
828,1,3,29.69911764705882,0,0,7.75,1,1
829,1,1,62.0,0,0,80.0,0,2
830,1,3,15.0,1,0,14.4542,0,0
831,1,2,0.83,1,1,18.75,1,2
832,0,3,29.69911764705882,0,0,7.2292,1,0
833,0,3,23.0,0,0,7.8542,1,2
834,0,3,18.0,0,0,8.3,1,2
835,1,1,39.0,1,1,83.1583,0,0
836,0,3,21.0,0,0,8.6625,1,2
837,0,3,29.69911764705882,0,0,8.05,1,2
838,1,3,32.0,0,0,56.4958,1,2
839,1,1,29.69911764705882,0,0,29.7,1,0
840,0,3,20.0,0,0,7.925,1,2
841,0,2,16.0,0,0,10.5,1,2
842,1,1,30.0,0,0,31.0,0,0
843,0,3,34.5,0,0,6.4375,1,0
844,0,3,17.0,0,0,8.6625,1,2
845,0,3,42.0,0,0,7.55,1,2
846,0,3,29.69911764705882,8,2,69.55,1,2
847,0,3,35.0,0,0,7.8958,1,0
848,0,2,28.0,0,1,33.0,1,2
849,1,1,29.69911764705882,1,0,89.1042,0,0
850,0,3,4.0,4,2,31.275,1,2
851,0,3,74.0,0,0,7.775,1,2
852,0,3,9.0,1,1,15.2458,0,0
853,1,1,16.0,0,1,39.4,0,2
854,0,2,44.0,1,0,26.0,0,2
855,1,3,18.0,0,1,9.35,0,2
856,1,1,45.0,1,1,164.8667,0,2
857,1,1,51.0,0,0,26.55,1,2
858,1,3,24.0,0,3,19.2583,0,0
859,0,3,29.69911764705882,0,0,7.2292,1,0
860,0,3,41.0,2,0,14.1083,1,2
861,0,2,21.0,1,0,11.5,1,2
862,1,1,48.0,0,0,25.9292,0,2
863,0,3,29.69911764705882,8,2,69.55,0,2
864,0,2,24.0,0,0,13.0,1,2
865,1,2,42.0,0,0,13.0,0,2
866,1,2,27.0,1,0,13.8583,0,0
867,0,1,31.0,0,0,50.4958,1,2
868,0,3,29.69911764705882,0,0,9.5,1,2
869,1,3,4.0,1,1,11.1333,1,2
870,0,3,26.0,0,0,7.8958,1,2
871,1,1,47.0,1,1,52.5542,0,2
872,0,1,33.0,0,0,5.0,1,2
873,0,3,47.0,0,0,9.0,1,2
874,1,2,28.0,1,0,24.0,0,0
875,1,3,15.0,0,0,7.225,0,0
876,0,3,20.0,0,0,9.8458,1,2
877,0,3,19.0,0,0,7.8958,1,2
878,0,3,29.69911764705882,0,0,7.8958,1,2
879,1,1,56.0,0,1,83.1583,0,0
880,1,2,25.0,0,1,26.0,0,2
881,0,3,33.0,0,0,7.8958,1,2
882,0,3,22.0,0,0,10.5167,0,2
883,0,2,28.0,0,0,10.5,1,2
884,0,3,25.0,0,0,7.05,1,2
885,0,3,39.0,0,5,29.125,0,1
886,0,2,27.0,0,0,13.0,1,2
887,1,1,19.0,0,0,30.0,0,2
888,0,3,29.69911764705882,1,2,23.45,0,2
889,1,1,26.0,0,0,30.0,1,0
890,0,3,32.0,0,0,7.75,1,1
